nll,avg_residual_mag,avg_hidden_mag,avg_reversal_ratio,avg_kurtosis,last_residual_mag,last_hidden_mag,last_reversal_ratio,last_kurtosis,idx,domain,difficulty,numeric_density,actual_length,fp16_nll,awq_nll,awq_error,gptq_nll,gptq_error
5.78515625,195.16875457763672,23.55380494253976,0.1476910522311463,70.83547156403948,485.56072998046875,34.670719146728516,0.07140346614958569,240.4611718087943,0,general,0,0.09352517985611511,140,5.78515625,6.92578125,1.140625,,
4.35546875,247.4939319065639,23.825399943760463,0.10778697958423296,66736.35189889095,583.37548828125,39.3956298828125,0.06753048538066027,1758.9956487765864,1,general,0,0.0,512,4.35546875,4.69140625,0.3359375,,
4.48046875,239.02534757341658,22.772222995758057,0.10365740986643282,67248.01129789985,520.850830078125,39.118412017822266,0.0751048280214024,2524.7879448353506,2,general,0,0.0784313725490196,512,4.48046875,5.06640625,0.5859375,,
3.958984375,244.65249742780412,23.287899698529923,0.10516731321696617,66846.16114150966,563.45654296875,38.789695739746094,0.06884239117247666,1970.6454136925058,3,general,0,0.009345794392523364,512,3.958984375,4.32421875,0.365234375,,
3.392578125,248.24812698364258,24.324573584965297,0.1082558032639147,66401.54953411521,576.9117431640625,41.60966873168945,0.0721248427072778,1788.8835816841167,4,general,0,0.0425531914893617,512,3.392578125,3.83203125,0.439453125,,
3.2109375,236.66228594098772,24.30684702736991,0.11253779325816056,68667.54154298261,550.3262939453125,41.079742431640625,0.07464615607794825,2080.2207281757123,5,general,0,0.09448818897637795,512,3.2109375,3.8125,0.6015625,,
5.6484375,240.11900656563895,21.842071805681503,0.10221753201498955,52789.30166364502,559.1466064453125,35.728515625,0.06389829646313777,2708.6791249313605,6,general,0,0.0297029702970297,340,5.6484375,6.765625,1.1171875,,
9.421875,211.08663994925362,24.740101269313268,0.14011887808274398,48.25803394086624,523.2817993164062,37.032894134521484,0.07077046093118416,197.7577572024152,7,general,0,0.0,101,9.421875,7.92578125,-1.49609375,,
3.310546875,234.49903161185128,22.886052744729177,0.10656636689930933,68568.90418369326,531.9476928710938,37.51654052734375,0.0705267473289617,2378.7787582691053,8,general,0,0.12903225806451613,512,3.310546875,3.916015625,0.60546875,,
5.0234375,239.29213387625558,22.480704035077775,0.10445630046320062,61109.36717382364,545.6078491210938,36.66493606567383,0.06720016239637401,2488.826778184832,9,general,0,0.0859375,429,5.0234375,5.4140625,0.390625,,
5.875,238.4734001159668,20.387702669416154,0.09761856573367635,47371.37096909261,549.5321655273438,32.09440994262695,0.05840315081798427,3209.2147171701513,10,general,0,0.24,288,5.875,7.66015625,1.78515625,,
7.109375,214.10289219447546,23.374476160321915,0.13292973312913303,66.21021555614493,537.014404296875,36.79888153076172,0.06852494316040428,224.89695652948186,11,general,0,0.0,105,7.109375,7.56640625,0.45703125,,
8.3515625,215.36772264753068,24.40305914197649,0.13748595386404422,54.20701952086961,533.0166015625,35.40092086791992,0.06641616933533526,200.88892543854382,12,general,0,0.1415929203539823,114,8.3515625,11.140625,2.7890625,,
5.66796875,217.00947734287806,22.500430515834264,0.12983371232496113,95.926716042404,553.9395141601562,32.63090515136719,0.058906982291811856,265.6172650251791,13,general,0,0.09210526315789473,77,5.66796875,4.47265625,-1.1953125,,
6.94140625,213.78402709960938,20.4508741242545,0.11484283465415528,142.54364563280953,544.5272216796875,32.767574310302734,0.060176191392646156,268.7646045870419,14,general,0,0.0,204,6.94140625,6.2578125,-0.68359375,,
8.0,212.78321238926478,20.68056399481637,0.12197266532368654,130.68457717868048,549.8093872070312,32.65557861328125,0.05939436352508976,285.231078939018,15,general,0,0.0,200,8.0,9.6171875,1.6171875,,
3.31640625,249.10408292497908,24.59661422457014,0.10838153743372472,66327.29724358572,588.183837890625,42.071903228759766,0.071528492485683,1675.6926540414313,16,general,0,0.16379310344827586,512,3.31640625,3.75,0.43359375,,
4.02734375,241.59055055890764,24.38657787867955,0.10933122726768318,67423.04777929928,560.4476318359375,41.460960388183594,0.0739782952643837,1960.6403112864596,17,general,0,0.05825242718446602,512,4.02734375,4.69140625,0.6640625,,
3.71875,246.54198837280273,23.409107208251953,0.1043719846503263,66282.16695656178,564.9871215820312,39.75593566894531,0.07036609181041854,1952.5131807224375,18,general,0,0.0,512,3.71875,4.05078125,0.33203125,,
9.7890625,211.34879302978516,24.57329981667655,0.14096979960544284,53.705004275461725,547.5341796875,37.901702880859375,0.06922253310741516,198.79441752315228,19,general,0,0.0,89,9.7890625,9.6484375,-0.140625,,
5.7890625,227.27539825439453,22.343414510999406,0.12046241738593925,101.75547205638068,577.44384765625,36.472511291503906,0.06316200517078822,216.81497342621893,20,general,0,0.05660377358490566,150,5.7890625,6.62109375,0.83203125,,
7.47265625,241.19534247262138,20.905187674931117,0.09906026133234125,51240.25304544036,560.407958984375,33.74152755737305,0.06020886573153364,2782.202188471079,21,general,0,0.04065040650406504,327,7.47265625,7.40625,-0.06640625,,
3.177734375,235.8321533203125,23.1898832321167,0.10739390339673915,68413.28586847188,530.6915893554688,40.46055603027344,0.07624118573164738,2337.370509794561,22,general,0,0.017857142857142856,512,3.177734375,3.974609375,0.796875,,
3.150390625,243.80145481654577,24.937421798706055,0.11136239159444969,66987.85796753755,559.8994140625,43.62735366821289,0.07791998450518631,1928.4488074073113,23,general,0,0.07339449541284404,512,3.150390625,3.529296875,0.37890625,,
6.71484375,219.4440552847726,21.597390174865723,0.12035092646589543,104.46651189214153,553.6607666015625,36.23984146118164,0.06545495662195142,237.8003204655863,24,general,0,0.0,155,6.71484375,8.984375,2.26953125,,
